Car ID,차량번호,최초등록일,변속기종류,사용연료,주행거리(km),주행거리 계기상태,차대번호표기,튜닝,특별이력,용도변경,배출가스,리콜대상,차명,연식
38631165,34서0673,2015/12/23,-,가솔린,"125,543km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 5ppm,해당없음,말리부,2015년식
37864823,160보3696,2022/05/03,오토,가솔린+전기,"21,619km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 1ppm,해당없음,K8 하이브리드,2022년식
38508892,06소9422,2017/03/07,-,가솔린,"89,343km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,더 넥스트 스파크,2017년식
36806605,21두1483,2017/04/11,-,가솔린,"111,718km",양호,양호,없음,없음,없음,일산화탄소: 4% / 탄화수소: 2ppm,해당없음,티볼리,2017년식
38172643,233고2322,2020/05/19,오토,디젤,"110,341km",양호,양호,없음,없음,있음 / 렌트,매연: 2%,해당 / 이행,GV80,2020년식
38367709,04어3184,2014/10/06,오토,가솔린,"140,171km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.02% / 탄화수소: 3ppm,해당 / 미이행,크루즈,2014년식
38419888,343누9045,2021/07/21,-,가솔린,"48,564km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: -% / 탄화수소: -ppm,해당없음,팰리세이드,2022년식
38123216,253두6277,2017/01/20,-,가솔린,"98,311km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당 / 이행,그랜저 IG,2017년식
38589586,214누5179,2021/06/18,-,가솔린,"128,997km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.1% / 탄화수소: 10ppm,해당 / 이행,아반떼 (CN7),2021년식
38214461,05우0581,2015/12/08,-,가솔린,"56,204km",양호,양호,없음,없음,없음,일산화탄소: 0.06% / 탄화수소: 4ppm,해당 / 이행,더 뉴 K7,2016년식
38335435,108루1009,2017/10/07,-,디젤,"77,790km",양호,양호,없음,없음,없음,매연: 9%,해당없음,티볼리 아머,2018년식
38586605,66로0434,2016/03/25,-,가솔린,"75,112km",양호,양호,없음,없음,없음,일산화탄소: 0.05% / 탄화수소: 7ppm,해당없음,티볼리,2016년식
38392986,69더0665,2015/12/04,-,디젤,"94,905km",양호,양호,없음,없음,없음,매연: 0%,해당없음,올란도,2016년식
38463065,808버1967,2022/05/27,-,디젤,"20,843km",양호,양호,있음 / 적법,없음,없음,매연: 1%,해당없음,더 뉴 렉스턴 스포츠,2022년식
38627110,54라1177,2015/07/13,오토,가솔린,"146,272km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.02% / 탄화수소: 9ppm,해당 / 미이행,더 뉴 K9,2015년식
38160955,171노9313,2020/10/27,오토,디젤,"121,324km",양호,양호,없음,없음,없음,매연: 4%,해당없음,GV80,2020년식
38637256,251마1663,2020/09/21,오토,디젤,"101,000km",양호,양호,없음,없음,있음 / 렌트,매연: -%,해당 / 이행,GV80,2020년식
38391687,148무3044,2023/11/16,오토,가솔린,"39,338km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 0.9ppm,해당,G80 (RG3),2024년식
38395901,813라9517,2022/06/24,-,디젤,"22,581km",양호,양호,없음,없음,없음,매연: 2%,해당없음,더 뉴 렉스턴 스포츠 칸,2022년식
38490383,317보7661,2021/07/13,-,가솔린,"9,202km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,더 뉴 스파크,2022년식
