id,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
37924001,-,보험사보증,"167,441km",없음,없음,없음,있음,있음
38507778,-,보험사보증,"143,684km",없음,없음,없음,없음,없음
38158284,오토,보험사보증,"4,918km",없음,없음,없음,없음,있음
38583113,-,보험사보증,"6,100km",없음,없음,없음,없음,없음
38528829,오토,보험사보증,"10,061km",없음,없음,없음,없음,없음
38573223,-,보험사보증,"적음 / 110,016km",없음,없음,없음,없음,없음
38493465,-,보험사보증,"87,628km",없음,없음,없음,없음,없음
38429811,-,보험사보증,"178,937km",없음,없음,있음 / 렌트,없음,있음
38378901,오토,보험사보증,"116,873km",없음,없음,없음,없음,있음
38548842,오토,보험사보증,"109,191km",없음,없음,없음,없음,없음
38452725,-,보험사보증,"167,671km",없음,없음,없음,있음,있음
38501473,수동,보험사보증,"적음 / 157,752km",없음,없음,없음,있음,있음
