ID,N,NC,OC,TL,FD,TF,CM,CO
38567905,25고6872,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38344385,133다6634,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37816471,221누9142,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회442,407원",없음
38633818,245소8990,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38518333,39머3583,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회182,038원","1회/493,606원"
38501922,19라3829,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,487,183원","1회/3,626,186원"
38487912,116모8129,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"7회9,190,701원","2회/9,159,360원"
38320030,132부3571,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,015,314원","3회/3,102,207원"
37604756,67누3474,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회539,500원","3회/1,642,736원"
38578357,85부7232,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/3,372,530원"
38296601,390우3696,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회6,006,934원","1회/696,220원"
38496282,21보8459,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회3,779,552원","3회/1,856,390원"
38405933,15서5907,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회9,432,694원","4회/3,571,574원"
38446726,126나7141,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/841,440원"
38591553,67두9544,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회773,370원","1회/3,132,010원"
38172050,278주2564,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38584381,15로1077,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38516149,33너1638,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회684,143원",없음
38609724,377주9014,0회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회874,131원",없음
38596625,24부3863,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38566606,27모2568,1회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,133,996원","2회/1,474,234원"
38622679,205다2596,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38169386,117나8625,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,313,640원",없음
37785025,71라9755,1회,8회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회3,342,819원","1회/1,245,910원"
38539486,124보5470,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
36971943,266무8654,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회451,427원",없음
38327800,191다9139,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,300,000원",없음
38146417,223부6963,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회734,990원",없음
37849908,179머9091,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/765,669원"
38595636,241우2019,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38607533,332러2743,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,014,539원","4회/2,213,328원"
38508895,261루4164,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회959,518원",없음
38477330,172호9967,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38519271,245주9036,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38586923,292거7278,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회8,467,780원","2회/2,874,270원"
38500326,185수6638,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,791,230원",없음
38321285,357두5440,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38174273,244보9267,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,154,950원","1회/854,440원"
38599670,301더3924,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,163,594원",없음
38381624,34조0662,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"7회8,951,236원","6회/7,012,444원"
38358946,68마6680,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회7,334,530원","1회/1,390,008원"
